product_code,Product Name,product_description,MRP,our_price,a. Whole Sale Price,shipping _charge,product_category,product_subcategory,product_subtopic,products_pagetitle,products_metadescription,products_keywords,image_url,product_description,Brand,status
Bv099,Appy Fizz Sparkling Apple JuiceDrink 250 ml Bottle,,15,,,,Beverages,Juices,Juices & Nector,Appy Fizz Sparkling Apple JuiceDrink 250 ml Bottle,,,bv99.jpg,,Appy ,1
Bv100,"Delmonte Fourseason Drink Can, 240 ml",,30,,,,Beverages,Juices,Juices & Nector,"Delmonte Fourseason Drink Can, 240 ml",,,bv100.jpg,,Delmonte,1
Bv101,Delmonte Fourseason Drink Pack Of 6 X 240 ml,,180,,,,Beverages,Juices,Juices & Nector,Delmonte Fourseason Drink Pack Of 6 X 240 ml,,,bv101.jpg,,Delmonte,1
Bv102,Delmonte Green Apple  Fruit Drink 240 ml Can,,30,,,,Beverages,Juices,Juices & Nector,Delmonte Green Apple  Fruit Drink 240 ml Can,,,bv102.jpg,,Delmonte,1
Bv103,Delmonte Mango Fruit Drink 240 ml Can,,30,,,,Beverages,Juices,Juices & Nector,Delmonte Mango Fruit Drink 240 ml Can,,,bv103.jpg,,Delmonte,1
Bv104,Delmonte Mix Variant Pack Of 6 X 240 ml,,180,,,,Beverages,Juices,Juices & Nector,Delmonte Mix Variant Pack Of 6 X 240 ml,,,bv104.jpg,,Delmonte,1
Bv105,B Natural Litchi Luscious Juice 1 Ltr Tetra,,99,,,,Beverages,Juices,Juices & Nector,B Natural Litchi Luscious Juice 1 Ltr Tetra,,,bv105.jpg,,B Natural,1
Bv106,B Natural Mango Magic Juice 200 ml Tetra,,20,,,,Beverages,Juices,Juices & Nector,B Natural Mango Magic Juice 200 ml Tetra,,,bv106.jpg,,B Natural,1
Bv107,B Natural Guava Gush Juice 1 Ltr Tetra,,99,,,,Beverages,Juices,Juices & Nector,B Natural Guava Gush Juice 1 Ltr Tetra,,,bv107.jpg,,B Natural,1
Bv108,Delmonte Pineapple Orange Fruit Drink 240 ml Can,,30,,,,Beverages,Juices,Juices & Nector,Delmonte Pineapple Orange Fruit Drink 240 ml Can,,,bv108.jpg,,Delmonte,1
Bv109,Frooti Fresh N Juice 600 ml Pet Bottle,,34,,,,Beverages,Juices,Juices & Nector,Frooti Fresh N Juice 600 ml Pet Bottle,,,bv109.jpg,,Frooti,1
Bv110,Frooti Fresh N Juicy Bottle 250 ml Tetra Pack,,15,,,,Beverages,Juices,Juices & Nector,Frooti Fresh N Juicy Bottle 250 ml Tetra Pack,,,bv110.jpg,,Frooti,1
Bv111,Frooti Fresh N Juicy Mango Drink 1.5 Ltr Bottle,,80,,,,Beverages,Juices,Juices & Nector,Frooti Fresh N Juicy Mango Drink 1.5 Ltr Bottle,,,bv111.jpg,,Frooti,1
Bv112,Frooti Fresh N Juicy Mango Drink 160 ml  Bottle,,10,,,,Beverages,Juices,Juices & Nector,Frooti Fresh N Juicy Mango Drink 160 ml  Bottle,,,bv112.jpg,,Frooti,1
Bv113,Frooti Fresh N Juicy Mango Drink 2.25 Ltr Bottle,,99,,,,Beverages,Juices,Juices & Nector,Frooti Fresh N Juicy Mango Drink 2.25 Ltr Bottle,,,bv113.jpg,,Frooti,1
Bv114,Frooti Fresh N Juicy Mango Drink 250 ml Bottle,,15,,,,Beverages,Juices,Juices & Nector,Frooti Fresh N Juicy Mango Drink 250 ml Bottle,,,bv114.jpg,,Frooti,1
Bv115,Frooti Mango Drink Pack Of 32 X 250 ml,,480,,,,Beverages,Juices,Juices & Nector,Frooti Mango Drink Pack Of 32 X 250 ml,,,bv115.jpg,,Frooti,1
Bv116,Frooti Mango Drink Pack Of 40 X 160 ml,,400,,,,Beverages,Juices,Juices & Nector,Frooti Mango Drink Pack Of 40 X 160 ml,,,bv116.jpg,,Frooti,1
Bv117,"Frooti Mango Drink Pet, 1.25 L",,60,,,,Beverages,Juices,Juices & Nector,"Frooti Mango Drink Pet, 1.25 L",,,bv117.jpg,,Frooti,1
Bv118,"Frooti Mango Drink Pet, 2 L",,92,,,,Beverages,Juices,Juices & Nector,"Frooti Mango Drink Pet, 2 L",,,bv118.jpg,,Frooti,1
Bv119,"Jalani Jaljira Bottle, 300 g",,102,,,,Beverages,Juices,Juices & Nector,"Jalani Jaljira Bottle, 300 g",,,bv119.jpg,,Jalani,1
Bv120,Jalani Jaljira Pack Of 50 X Re. 1,,50,,,,Beverages,Juices,Juices & Nector,Jalani Jaljira Pack Of 50 X Re. 1,,,bv120.jpg,,Jalani,1
Bv121,Jalani Nimbu Pani Pack Of 30 X Rs. 2,,60,,,,Beverages,Juices,Juices & Nector,Jalani Nimbu Pani Pack Of 30 X Rs. 2,,,bv121.jpg,,Jalani,1
Bv122,Jalani Pudina Aam Drink Pack Of 20 X Rs. 3,,60,,,,Beverages,Juices,Juices & Nector,Jalani Pudina Aam Drink Pack Of 20 X Rs. 3,,,bv122.jpg,,Jalani,1
Bv123,Kdd Harvest Apple Juice 1 L,,99,,,,Beverages,Juices,Juices & Nector,Kdd Harvest Apple Juice 1 L,,,bv123.jpg,,KDD,1
Bv124,Kdd Harvest Guava Juice 1 L,,90,,,,Beverages,Juices,Juices & Nector,Kdd Harvest Guava Juice 1 L,,,bv124.jpg,,KDD,1
Bv125,Kdd Harvest Mango Juice 1 L,,90,,,,Beverages,Juices,Juices & Nector,Kdd Harvest Mango Juice 1 L,,,bv125.jpg,,KDD,1
Bv126,Kdd Harvest Mix Fruit Juice 1 L,,90,,,,Beverages,Juices,Juices & Nector,Kdd Harvest Mix Fruit Juice 1 L,,,bv126.jpg,,KDD,1
Bv127,Kdd Harvest Orange Juice 1 L,,99,,,,Beverages,Juices,Juices & Nector,Kdd Harvest Orange Juice 1 L,,,bv127.jpg,,KDD,1
Bv128,KDD Harvest Pineaple Juice 1L,,99,,,,Beverages,Juices,Juices & Nector,KDD Harvest Pineaple Juice 1L,,,bv128.jpg,,KDD,1
Bv129,Kokozo Fruit Juice Grape With Nata De Coco 320 ml Bottle,,50,,,,Beverages,Juices,Juices & Nector,Kokozo Fruit Juice Grape With Nata De Coco 320 ml Bottle,,,bv129.jpg,,Kokozo,1
Bv130,Kokozo Fruit Juice Lychee with Nata De Coco 320 ml Bottle,,50,,,,Beverages,Juices,Juices & Nector,Kokozo Fruit Juice Lychee with Nata De Coco 320 ml Bottle,,,bv130.jpg,,Kokozo,1
Bv131,Kokozo Fruit Juice Melon With Nata De Coco 320 ml Bottle,,50,,,,Beverages,Juices,Juices & Nector,Kokozo Fruit Juice Melon With Nata De Coco 320 ml Bottle,,,bv131.jpg,,Kokozo,1
Bv132,Kokozo Fruit Juice Mixed Fruit With Nata De Coco 300 ml Bottle,,50,,,,Beverages,Juices,Juices & Nector,Kokozo Fruit Juice Mixed Fruit With Nata De Coco 300 ml Bottle,,,bv132.jpg,,Kokozo,1
Bv133,Kokozo Fruit Juice Orange With Nata De Coco 320 ml Bottle,,50,,,,Beverages,Juices,Juices & Nector,Kokozo Fruit Juice Orange With Nata De Coco 320 ml Bottle,,,bv133.jpg,,Kokozo,1
Bv134,Kokozo Fruit Juice Pomogranate 320 ml Bottle,,50,,,,Beverages,Juices,Juices & Nector,Kokozo Fruit Juice Pomogranate 320 ml Bottle,,,bv134.jpg,,Kokozo,1
Bv135,Kokozo Fruit Juice Strawberry With Nata De Coco 300 ml Bottle,,50,,,,Beverages,Juices,Juices & Nector,Kokozo Fruit Juice Strawberry With Nata De Coco 300 ml Bottle,,,bv135.jpg,,Kokozo,1
Bv136,Kokozo Melon Sixpack 6X300 ml Pet Bottle,,50,,,,Beverages,Juices,Juices & Nector,Kokozo Melon Sixpack 6X300 ml Pet Bottle,,,bv136.jpg,,Kokozo,1
Bv137,Kokozo Sixpack Orange 6X300 ml Pet Bottle,,50,,,,Beverages,Juices,Juices & Nector,Kokozo Sixpack Orange 6X300 ml Pet Bottle,,,bv137.jpg,,Kokozo,1
Bv138,Maaza Mango Drink 1.2 L,,65,,,,Beverages,Juices,Juices & Nector,Maaza Mango Drink 1.2 L,,,bv138.jpg,,Maaza,1
Bv139,Maaza Mango Drink Pack Of 12 X 1.2 L,,780,,,,Beverages,Juices,Juices & Nector,Maaza Mango Drink Pack Of 12 X 1.2 L,,,bv139.jpg,,Maaza,1
Bv140,Maaza Mango Drink Pack Of 24 X 600 ml,,840,,,,Beverages,Juices,Juices & Nector,Maaza Mango Drink Pack Of 24 X 600 ml,,,bv140.jpg,,Maaza,1
Bv141,Maaza Mango Drink Pack Of 27 x 200 ml,,324,,,,Beverages,Juices,Juices & Nector,Maaza Mango Drink Pack Of 27 x 200 ml,,,bv141.jpg,,Maaza,1
Bv142,Members Mark Apple Drink 2 L,,99,,,,Beverages,Juices,Juices & Nector,Members Mark Apple Drink 2 L,,,bv142.jpg,,Members Mark,1
Bv143,Members Mark Mango Drink 2 L,,89,,,,Beverages,Juices,Juices & Nector,Members Mark Mango Drink 2 L,,,bv143.jpg,,Members Mark,1
Bv144,Minute Maid Mango Pack Of 27 U X 200 ml,,270,,,,Beverages,Juices,Juices & Nector,Minute Maid Mango Pack Of 27 U X 200 ml,,,bv144.jpg,,Minute Maid,1
Bv145,Minute Maid Pulpy Orange 1 L,,60,,,,Beverages,Juices,Juices & Nector,Minute Maid Pulpy Orange 1 L,,,bv145.jpg,,Minute Maid,1
Bv146,Minute Maid Pulpy Orange Pack Of 24 X 400 ml,,720,,,,Beverages,Juices,Juices & Nector,Minute Maid Pulpy Orange Pack Of 24 X 400 ml,,,bv146.jpg,,Minute Maid,1
Bv147,Minute Maide Pulpy Orange Juice 1.5 Ltr Bottle,,75,,,,Beverages,Juices,Juices & Nector,Minute Maide Pulpy Orange Juice 1.5 Ltr Bottle,,,bv147.jpg,,Minute Maid,1
Bv148,Minute Maide Pulpy Orange Juice 400 ml Bottle,,30,,,,Beverages,Juices,Juices & Nector,Minute Maide Pulpy Orange Juice 400 ml Bottle,,,bv148.jpg,,Minute Maid,1
Bv149,Mogu Mogu Apple Juice Drink With Nata De Coco 300 ml Bottle,,55,,,,Beverages,Juices,Juices & Nector,Mogu Mogu Apple Juice Drink With Nata De Coco 300 ml Bottle,,,bv149.jpg,,Mogu Mogu,1
Bv150,"Mr. Fresh Fruit Drink Orange, 2 L",,125,,,,Beverages,Juices,Juices & Nector,"Mr. Fresh Fruit Drink Orange, 2 L",,,bv150.jpg,,Mr.Fresh,1
Bv151,"Mr. Fresh Fruit Drink Peach Paradise, 2 L",,125,,,,Beverages,Juices,Juices & Nector,"Mr. Fresh Fruit Drink Peach Paradise, 2 L",,,bv151.jpg,,Mr.Fresh,1
Bv152,"Mr. Fresh Fruit Drink Pineapple, 2 L",,125,,,,Beverages,Juices,Juices & Nector,"Mr. Fresh Fruit Drink Pineapple, 2 L",,,bv152.jpg,,Mr.Fresh,1
Bv153,Paper Boat Tea Ginger Lemon 250 ml Pouch,,30,,,,Beverages,Juices,Juices & Nector,Paper Boat Tea Ginger Lemon 250 ml Pouch,,,bv153.jpg,,Paper Boat,1
Bv154,Paper Boat Tea Tulasi 250 ml Pouch,,30,,,,Beverages,Juices,Juices & Nector,Paper Boat Tea Tulasi 250 ml Pouch,,,bv154.jpg,,Paper Boat,1
Bv155,Paperboat Aampanna Drink 250 ml,,30,,,,Beverages,Juices,Juices & Nector,Paperboat Aampanna Drink 250 ml,,,bv155.jpg,,Paper Boat,1
Bv156,Paperboat Aamras 250 ml,,30,,,,Beverages,Juices,Juices & Nector,Paperboat Aamras 250 ml,,,bv156.jpg,,Paper Boat,1
Bv157,B Natural Jamun Joy Juice 1 Ltr Tetra,,140,,,,Beverages,Juices,Juices & Nector,B Natural Jamun Joy Juice 1 Ltr Tetra,,,bv157.jpg,,B Natural,1
Bv158,B Natural Guava Gush Juice 200 ml Tetra,,20,,,,Beverages,Juices,Juices & Nector,B Natural Guava Gush Juice 200 ml Tetra,,,bv158.jpg,,B Natural,1
Bv159,B Natural Jamun Joy Juice 200 ml Tetra,,25,,,,Beverages,Juices,Juices & Nector,B Natural Jamun Joy Juice 200 ml Tetra,,,bv159.jpg,,B Natural,1
Bv160,Paperboat Jaljeera Drink 250 ml,,30,,,,Beverages,Juices,Juices & Nector,Paperboat Jaljeera Drink 250 ml,,,bv160.jpg,,Paper Boat,1
Bv161,Paperboat Jamun Kalakhatta Drink 250 ml,,30,,,,Beverages,Juices,Juices & Nector,Paperboat Jamun Kalakhatta Drink 250 ml,,,bv161.jpg,,Paper Boat,1
Bv162,Peach Coolada Fruit Drink 240 ml Can,,30,,,,Beverages,Juices,Juices & Nector,Peach Coolada Fruit Drink 240 ml Can,,,bv162.jpg,,Peach,1
Bv163,Real Active Fiber Orange Citrus Punch Juice 1 Ltr Tetra,,115,,,,Beverages,Juices,Juices & Nector,Real Active Fiber Orange Citrus Punch Juice 1 Ltr Tetra,,,bv163.jpg,,Real,1
Bv164,Real Active Apple Juice 1 L,,110,,,,Beverages,Juices,Juices & Nector,Real Active Apple Juice 1 L,,,bv164.jpg,,Real,1
Bv165,"Real Active Fiber Juice Multi Fruit, 1 L",,115,,,,Beverages,Juices,Juices & Nector,"Real Active Fiber Juice Multi Fruit, 1 L",,,bv165.jpg,,Real,1
Bv166,Real Active Orange Juice 1 L,,110,,,,Beverages,Juices,Juices & Nector,Real Active Orange Juice 1 L,,,bv166.jpg,,Real,1
Bv167,B Natural Orange Oomph Juice 200 ml Tetra,,20,,,,Beverages,Juices,Juices & Nector,B Natural Orange Oomph Juice 200 ml Tetra,,,bv167.jpg,,B Natural,1
Bv168,Real Apple Juice 1 L,,99,,,,Beverages,Juices,Juices & Nector,Real Apple Juice 1 L,,,bv168.jpg,,Real,1
Bv169,Real Apple Juice Pack Of 30 X 200 ml,,600,,,,Beverages,Juices,Juices & Nector,Real Apple Juice Pack Of 30 X 200 ml,,,bv169.jpg,,Real,1
Bv170,Real Cranberry Juice 1L,,109,,,,Beverages,Juices,Juices & Nector,Real Cranberry Juice 1L,,,bv170.jpg,,Real,1
Bv171,Real Grape Juice 1 L,,99,,,,Beverages,Juices,Juices & Nector,Real Grape Juice 1 L,,,bv171.jpg,,Real,1
Bv172,Real Guava Juice 1L,,99,,,,Beverages,Juices,Juices & Nector,Real Guava Juice 1L,,,bv172.jpg,,Real,1
Bv173,Real Power Apple Juice 200 ml Tetra,,20,,,,Beverages,Juices,Juices & Nector,Real Power Apple Juice 200 ml Tetra,,,bv173.jpg,,Real,1
Bv174,Real  Guva Juice 200 ml Tetra,,20,,,,Beverages,Juices,Juices & Nector,Real  Guva Juice 200 ml Tetra,,,bv174.jpg,,Real,1
Bv175,Real Active Juice Pomegranate & Berries 1 Ltr Tetra,,110,,,,Beverages,Juices,Juices & Nector,Real Active Juice Pomegranate & Berries 1 Ltr Tetra,,,bv175.jpg,,Real,1
Bv176,Real Litchi Juice 1 L,,99,,,,Beverages,Juices,Juices & Nector,Real Litchi Juice 1 L,,,bv176.jpg,,Real,1
Bv177,Real Mango Juice 1L,,99,,,,Beverages,Juices,Juices & Nector,Real Mango Juice 1L,,,bv177.jpg,,Real,1
Bv178,Real Mixed Fruit Juice 1L,,99,,,,Beverages,Juices,Juices & Nector,Real Mixed Fruit Juice 1L,,,bv178.jpg,,Real,1
Bv179,Real Mixed Fruit Juice Pack Of 30 x 200 ml,,600,,,,Beverages,Juices,Juices & Nector,Real Mixed Fruit Juice Pack Of 30 x 200 ml,,,bv179.jpg,,Real,1
Bv180,Real Orange Juice 1 L,,99,,,,Beverages,Juices,Juices & Nector,Real Orange Juice 1 L,,,bv180.jpg,,Real,1
Bv181,Real Orange Juice Pack Of 30 X 200 ml,,600,,,,Beverages,Juices,Juices & Nector,Real Orange Juice Pack Of 30 X 200 ml,,,bv181.jpg,,Real,1
Bv182,Real Pineapple Juice 1 L,,99,,,,Beverages,Juices,Juices & Nector,Real Pineapple Juice 1 L,,,bv182.jpg,,Real,1
Bv183,Real Pomegranate Juice 1L,,109,,,,Beverages,Juices,Juices & Nector,Real Pomegranate Juice 1L,,,bv183.jpg,,Real,1
Bv184,Real Fruit Power Litchi Juice 200 ml Tetra,,20,,,,Beverages,Juices,Juices & Nector,Real Fruit Power Litchi Juice 200 ml Tetra,,,bv184.jpg,,Real,1
Bv185,Real Tomato Juice 1 L,,99,,,,Beverages,Juices,Juices & Nector,Real Tomato Juice 1 L,,,bv185.jpg,,Real,1
Bv186,Real Active Orange Carrot 1 Ltr Tetra,,110,,,,Beverages,Juices,Juices & Nector,Real Active Orange Carrot 1 Ltr Tetra,,,bv186.jpg,,Real,1
Bv187,Real Active Juice Mixed Fruit Beetroot  Carrot 1 L Tetra,,110,,,,Beverages,Juices,Juices & Nector,Real Active Juice Mixed Fruit Beetroot  Carrot 1 L Tetra,,,bv187.jpg,,Real,1
Bv188,Real Fruit Mixed Fruit Juice 1 Ltr Tetra,,99,,,,Beverages,Juices,Juices & Nector,Real Fruit Mixed Fruit Juice 1 Ltr Tetra,,,bv188.jpg,,Real,1
Bv189,Real Fruit Mixed Fruit Juice 200 ml Tetra,,20,,,,Beverages,Juices,Juices & Nector,Real Fruit Mixed Fruit Juice 200 ml Tetra,,,bv189.jpg,,Real,1
Bv190,Robinsons Fruit Shoot Mango 300 ml Bottle,,30,,,,Beverages,Juices,Juices & Nector,Robinsons Fruit Shoot Mango 300 ml Bottle,,,bv190.jpg,,Robinsons,1
Bv191,Slice Mango Drink 1.75 Ltr Bottle,,95,,,,Beverages,Juices,Juices & Nector,Slice Mango Drink 1.75 Ltr Bottle,,,bv191.jpg,,Slice,1
Bv192,Slice Mango Drink 500ml Bottle,,35,,,,Beverages,Juices,Juices & Nector,Slice Mango Drink 500ml Bottle,,,bv192.jpg,,Slice,1
Bv193,"Slice Mobile Pet, Case Pack Of 24 X 500 ml",,840,,,,Beverages,Juices,Juices & Nector,"Slice Mobile Pet, Case Pack Of 24 X 500 ml",,,bv193.jpg,,Slice,1
Bv194,"Slice Pet, 1.2 L",,65,,,,Beverages,Juices,Juices & Nector,"Slice Pet, 1.2 L",,,bv194.jpg,,Slice,1
Bv195,"Slice Pet, Case Pack Of 12 X 1.2 L",,780,,,,Beverages,Juices,Juices & Nector,"Slice Pet, Case Pack Of 12 X 1.2 L",,,bv195.jpg,,Slice,1
Bv196,Tang Lemon 500 g,,105,,,,Beverages,Juices,Juices & Nector,Tang Lemon 500 g,,,bv196.jpg,,Tang,1
Bv197,Tang Mango 500 g,,110,,,,Beverages,Juices,Juices & Nector,Tang Mango 500 g,,,bv197.jpg,,Tang,1
